player,hard_elo,clay_elo,grass_elo,overall_elo,hard_matches,clay_matches,grass_matches,current_rank,days_since_last_match,recent_form_residual
Arefyeva T.,1499.1024538933566,1499.1093423139896,1499.016003296747,1499.016003296747,4,1,0,254.0,4737.0,
Argyrokastriti M.,1484.7426739856674,1484.5645938581376,1484.5645938581376,1484.5645938581376,1,0,0,725.0,48.0,
Arn G.,1489.7936238319926,1497.544935038291,1493.5159329581877,1488.435599210232,44,52,6,369.0,2547.0,-0.24996990890396506
Arruabarrena L.,1449.643340644109,1484.6314539903644,1479.6922453819627,1451.0793545568629,69,91,12,178.0,1868.0,-0.26564111880137503
Arruabarrena Vecino L.,1499.9995761654984,1499.9999639703224,1499.9995761654984,1499.9995761654984,0,2,0,175.0,5526.0,
Arruabarrena-Vecino L.,1498.3156383993683,1498.938918600372,1497.8873784676982,1497.6528822381463,15,18,1,102.0,4612.0,-0.1256087983761915
Arseneault A.,1478.1398362282923,1478.8348229464834,1478.8348229464834,1478.8348229464834,2,0,0,407.0,28.0,
Arvidsson S.,1496.059160839738,1494.9128108878222,1495.8827824247683,1490.9325083200436,124,51,12,294.0,4065.0,-0.15379976826603214
Atik R.,1498.4790540901604,1498.479959162762,1498.4790540901604,1498.4790540901604,0,2,0,1149.0,4142.0,
Augustine B.,1499.9392580435672,1499.939258056546,1499.939258056546,1499.939258056546,1,0,0,1042.0,6971.0,
Avanesyan E.,1537.1568452143379,1559.8451614744215,1515.3550679392263,1535.8697720036562,54,43,7,208.0,36.0,-0.09727127458170304
Avdeeva J.,1496.229270903032,1495.6215134408724,1496.229270903032,1496.229270903032,0,1,0,208.0,825.0,
Azarenka V.,1687.116372022518,1607.3637110018994,1607.3637110018994,1657.3637110018994,498,167,75,132.0,366.0,-0.07946500085677966
Babel O.,1495.987927737086,1495.748364643733,1495.987927737086,1495.987927737086,0,1,0,1111.0,1916.0,
Babos T.,1426.2492032722587,1424.8375009397978,1426.2492032722587,1376.2492032722587,191,73,28,259.0,775.0,-0.17870116399044964
Bachmann A.,1499.732540061149,1499.7919594954442,1499.732570901321,1499.732570901321,4,2,0,175.0,6689.0,
Back D.,1466.9667091359495,1468.332411962061,1468.332411962061,1468.332411962061,5,0,0,306.0,347.0,
Bacquet E.,1499.9431087531361,1499.943108751343,1499.9431087531361,1499.9431087531361,0,1,0,508.0,7040.0,
Bacsinszky T.,1496.1411226636958,1524.2802262933171,1502.3999502757752,1513.6193953648922,146,112,22,94.0,2540.0,-0.3532045258998216
Badosa Gibert P.,1493.9826297690738,1496.4984047584178,1495.4404163960758,1494.0722083568464,3,3,3,133.0,2634.0,
Badosa Gibert. P.,1499.880966370368,1499.8768528852404,1499.8768528852404,1499.8768528852404,4,0,0,198.0,3995.0,
Badosa P.,1692.7978896256207,1646.8911926764588,1625.2947486260807,1675.2947486260807,136,88,29,93.0,37.0,0.09234066998064161
Bai A.,1496.8365379371735,1496.8394606938577,1496.8394606938577,1496.8394606938577,1,0,0,380.0,2791.0,
Bai Z.,1455.292642900216,1442.0224517015236,1447.7841386850544,1431.5883339370066,11,5,4,702.0,221.0,-0.1298279636193127
Baindl K.,1416.9658719893398,1462.3469202809897,1424.607559705721,1412.3469202809897,13,14,4,329.0,733.0,-0.29789382263608855
Bains N.,1489.1180558209458,1488.7377379035188,1489.696851871589,1488.7377379035188,1,0,1,282.0,1874.0,
Baker L.,1499.900473724745,1499.8995810939596,1499.8933641848075,1499.8933641848075,1,1,0,292.0,7040.0,
Baltacha E.,1497.95193015648,1497.6373772033357,1498.3801740031054,1495.8748947237907,53,15,26,167.0,4815.0,0.049509216133720835
Bammer S.,1499.7334590969883,1499.6691468379083,1499.2269233148536,1498.8868055919324,136,48,16,148.0,5526.0,-0.1872285949775649
Bandecchi S.,1478.987950607893,1481.2413473949991,1479.755812721599,1478.987950607893,0,6,1,215.0,94.0,
Baptiste H.,1676.9583744241477,1676.9583744241477,1676.9583744241477,1726.9583744241477,73,37,3,26.0,98.0,0.21678280989409981
Bara I.,1436.6990619533474,1442.813369606996,1434.9327995316614,1416.3975104513268,10,32,2,242.0,516.0,-0.07430218027412744
Barbat K.,1499.690702269619,1499.6907022814137,1499.6907022814137,1499.6907022814137,1,0,0,656.0,5256.0,
Barbieri G.,1499.3986883583034,1499.3967858567066,1499.3986883583034,1499.3986883583034,0,1,0,228.0,4513.0,
Bardina V.,1499.6857721271135,1499.5843822937545,1499.541387088238,1499.419935410932,14,6,3,984.0,6564.0,-0.33015378056525724
Barrois K.,1495.9205767025867,1498.8189294282834,1498.2057914723925,1495.3093551582474,35,39,13,282.0,4800.0,-0.40748964226260354
Barros V.L.,1480.5400431420317,1480.5547127477068,1480.5547127477068,1480.5547127477068,1,0,0,566.0,356.0,
Barry E.,1499.9295940160582,1499.9295940169168,1499.9295940169168,1499.9295940169168,1,0,0,387.0,6816.0,
Barry M.,1471.7907622212622,1472.700874681515,1472.700874681515,1472.700874681515,2,0,0,726.0,236.0,
Barte H.,1499.5865284643153,1499.5865529163564,1499.5865529163564,1499.5865529163564,2,0,0,959.0,5514.0,
Barthel M.,1431.0646314671078,1429.107455928399,1431.0646314671078,1381.0646314671078,202,85,33,223.0,40.0,-0.23783936398467734
Bartoli M.,1515.8392451561006,1501.5691040486242,1509.1279443007254,1522.0666404731599,264,80,58,7.0,4763.0,0.28769177236295274
Bartunkova N.,1600.8634229886445,1595.8711948870512,1595.8711948870512,1645.8711948870512,27,5,7,38.0,1.0,0.048871629929142846
Barty A.,1803.842806339901,1734.3692989572219,1722.6738013780973,1853.842806339901,168,50,41,1.0,1674.0,0.13992020456136134
Basiletti N.,1515.1655707803952,1513.787112678798,1515.1655707803952,1515.1655707803952,0,2,0,427.0,114.0,
Bassols M.,1389.1703650204126,1429.144747395713,1384.6982175995095,1384.6982175995095,9,9,0,130.0,33.0,-0.07793883247906458
Bassols Ribera M.,1492.403337764295,1492.4060470616064,1492.403337764295,1492.403337764295,0,1,0,291.0,1868.0,
Baszak W.,1492.3116619970647,1492.315097460435,1492.3116619970647,1492.3116619970647,0,1,0,1202.0,1867.0,
Bechri C.,1486.032429783177,1486.2622783551246,1486.2622783551246,1486.2622783551246,1,0,0,1206.0,720.0,
Beck A.,1484.357738210465,1486.8381765792617,1490.6104368196172,1474.731127905052,119,64,15,140.0,3289.0,-0.20372446214459278
Beck An.,1499.9953640930164,1499.9948380926874,1499.9948380926874,1499.9948380926874,2,0,0,141.0,5100.0,
Begu I.,1494.7266491247972,1594.7266491247972,1494.7266491247972,1544.7266491247972,226,201,35,173.0,61.0,0.0524371675405072
Bejlek S.,1682.0283019626813,1638.1335772783311,1638.1335772783311,1688.1335772783311,33,14,4,35.0,7.0,0.34696192475185783
Bektas E.,1409.6768744849817,1441.1795214535139,1463.220914493307,1418.7870812702063,14,3,9,301.0,387.0,-0.10874237519737079
Bellis C.,1510.1805776743372,1502.9807595969505,1506.8755796373043,1510.5047056019337,59,11,5,171.0,2162.0,-0.04199447407411161
Bencic B.,1804.2025828103694,1755.69526848613,1747.926101529241,1844.5852110496305,293,94,73,14.0,20.0,0.1302506226954523
Benesova I.,1497.5302298241356,1498.0859640046053,1497.3946421868322,1494.8241762698333,124,74,14,63.0,5116.0,-0.36584900288674294
Bennani L.,1499.843449866316,1499.8434728929751,1499.843449866316,1499.843449866316,0,1,0,781.0,5969.0,
Benoit M.,1478.4421718514945,1479.0895796006962,1478.4421718514945,1478.4421718514945,0,2,0,250.0,769.0,
Berberovic N.,1500.7581375353222,1500.5503816033895,1500.7581375353222,1500.7581375353222,0,2,0,306.0,1565.0,
Bertea E.R.,1484.4226062559899,1484.5999387149388,1484.5999387149388,1484.5999387149388,1,0,0,295.0,209.0,
Bertens K.,1557.0723046815742,1577.8496491968149,1529.547956218323,1579.547956218323,191,133,38,21.0,1888.0,-0.5402520903048385
Betova M.,1470.810327505453,1468.9905523359923,1471.0063097402724,1468.9905523359923,1,0,1,1022.0,1098.0,
Beygelzimer Y.,1495.7034641054424,1496.1914094705642,1494.5210945360377,1493.8054338893237,11,15,1,199.0,3974.0,-0.17910535638472888
Bhamidipaty S.R.,1498.9374920043565,1498.7243251811726,1498.7243251811726,1498.7243251811726,2,0,0,434.0,304.0,
Bhatia R.,1492.7337938575215,1492.7337938575215,1492.6961244859422,1492.7337938575215,0,0,1,362.0,1896.0,
Birnerova E.,1498.4000033941616,1497.3527349978037,1498.260731692062,1496.7683350727882,24,22,5,115.0,4738.0,-0.051157732708526193
Birrell K.,1491.8735882006838,1466.7430725681072,1469.8451224622968,1487.6213914381271,82,9,17,69.0,5.0,-0.2567037903672646
Bjorklund M.,1476.9088290702757,1488.8991995774663,1479.1457630183181,1477.2726440584233,9,7,1,155.0,1098.0,0.057818324005728894
Black C.,1499.9139748306065,1499.9139537895064,1499.9139537895064,1499.9139537895064,1,0,0,1063.0,6607.0,
Black T.A.,1498.794372487116,1498.8057200536741,1498.7202626228648,1498.7202626228648,1,1,0,718.0,4415.0,
Blinkova A.,1487.964930140936,1412.1350161687171,1481.1226193888403,1462.1350161687171,161,55,35,111.0,14.0,-0.1561637000067449
Bobusic B.,1498.542578025702,1498.5454871691022,1498.5454871691022,1498.5454871691022,4,0,0,307.0,4976.0,
Bogdan A.,1448.048903064069,1516.1386667711993,1478.4578708079396,1472.5059193778202,98,67,15,538.0,209.0,-0.21153605228354794
Bogdan E.,1499.5173188266017,1499.5134599626117,1499.5173188266017,1499.5173188266017,0,3,0,527.0,4204.0,
Bohmova K.,1499.947807964496,1499.9478098252307,1499.947807964496,1499.947807964496,0,1,0,181.0,7131.0,
Boisson L.,1532.4378025992964,1576.227649515622,1549.3692374472112,1570.513212245673,9,18,2,281.0,13.0,-0.2048485962521247
Bolkvadze M.,1487.3113229960722,1485.6512125334657,1487.314118343067,1485.1306295457064,3,1,3,545.0,59.0,
Bolsova A.,1446.711129643663,1451.1973538843713,1431.1532314331234,1422.4309644082798,14,16,1,131.0,1048.0,-0.17991074776121035
Bolsova Zadoinov A.,1504.6121197074226,1501.8685055306062,1504.6121197074226,1504.6121197074226,0,5,0,340.0,466.0,
Bona A.,1499.692371421188,1499.6924622342349,1499.692371421188,1499.692371421188,0,1,0,240.0,5255.0,
Bonaventure Y.,1470.446372119522,1433.4382283165842,1440.633757355482,1420.446372119522,51,21,6,91.0,1152.0,-0.2790550645873216
Bondar A.,1487.4171105630196,1587.4171105630196,1487.8626288831679,1537.4171105630196,69,68,6,70.0,5.0,-0.050038943178073336
Bondarenko A.,1499.0245567861919,1500.842651428095,1499.9407946378738,1499.6496011768352,115,69,24,212.0,5431.0,-0.3135413275243619
Bondarenko K.,1466.878032980718,1468.3624297424642,1485.6799407149003,1442.0873055601176,165,76,32,325.0,740.0,-0.1256642169823744
Borsanyi C.,1499.6845778350626,1499.6844966825504,1499.6845778350626,1499.6845778350626,0,1,0,943.0,5235.0,
Boserup J.,1498.8837099692903,1495.4114334661774,1496.3415703298388,1495.115224373395,18,2,5,115.0,3289.0,-0.12437970609294163
Boskovic L.,1530.8430046590945,1530.6876250982664,1530.8430046590945,1530.8430046590945,0,6,0,225.0,513.0,
Botto B.,1499.852673486532,1499.8527213854957,1499.852673486532,1499.852673486532,0,1,0,345.0,6040.0,
Bouchard E.,1487.4856117630843,1524.2510973059889,1495.580964539851,1506.9240488388969,185,73,31,248.0,1077.0,-0.11330539907444048
Boulter K.,1561.1158024733832,1539.7331183525791,1598.7278054258331,1589.7331183525791,103,20,56,71.0,15.0,-0.1074355757188088
Bouzas Maneiro J.,1511.8991246903825,1534.0470039720976,1554.3391073143193,1561.8991246903825,57,27,14,90.0,14.0,0.08432703326133395
Bouzkova M.,1659.2192504889165,1659.2192504889165,1659.2192504889165,1709.2192504889165,191,56,38,27.0,11.0,-0.022848202116844685
Bovina E.,1498.4981200539958,1498.725335444928,1498.4890174522839,1498.281493263309,19,3,1,360.0,5465.0,-0.22529475001059476
Brace C.,1461.8559992153014,1463.1071601674012,1463.1071601674012,1463.1071601674012,5,0,0,254.0,27.0,
Brady J.,1555.9817475713621,1512.9569387834072,1524.0358500560988,1562.9569387834072,99,28,12,689.0,153.0,-0.2646642156129304
Brancaccio N.,1413.818223465807,1406.4902830357073,1413.818223465807,1413.818223465807,0,14,0,171.0,116.0,-0.23561087872360795
Brandi K.,1499.8956019366042,1499.8882569190523,1499.894873128418,1499.8882569190523,1,0,1,204.0,7005.0,
Branstine C.,1499.3053152604814,1500.623789164067,1498.0605375606578,1500.623789164067,1,0,3,191.0,397.0,
Brantmeier R.,1482.996298231233,1483.0000400519755,1483.0000400519755,1483.0000400519755,1,0,0,486.0,34.0,
Bratchikova N.,1496.318908069548,1495.4851951513429,1494.3669025053582,1492.9874516655757,25,18,2,140.0,4792.0,-0.2005772154154958
Brazhnikova A.,1499.5968721290685,1499.5966213869883,1499.5968721290685,1499.5968721290685,0,2,0,611.0,5535.0,
Bremond I.,1498.7068122666274,1498.9038545945666,1498.566076013188,1498.566076013188,6,3,0,131.0,5255.0,
Bremond S.,1499.1154343582793,1499.035891798594,1498.897889128084,1498.2248258828176,32,13,8,161.0,6192.0,-0.12569413352383269
Brengle M.,1422.4543693617209,1466.842286682014,1445.6032702020943,1416.842286682014,154,50,30,103.0,1097.0,-0.11996095773601623
Brianti A.,1496.6462111806295,1496.9824897457152,1496.1989818543107,1493.0925843976725,81,41,10,188.0,4149.0,-0.24967876519382634
Broady N.,1492.3387120484829,1486.565689643442,1484.1703174428628,1480.3658938474255,40,4,22,161.0,2909.0,0.01281771950635402
Brockmann T.J.,1481.8598119742398,1481.7460737240667,1481.8598119742398,1481.8598119742398,0,1,0,267.0,39.0,
Brodsky G.,1499.4447935608541,1499.445120740014,1499.445120740014,1499.445120740014,4,0,0,239.0,5464.0,
Bronzetti L.,1468.193503094576,1435.748646341189,1446.3254815549737,1446.1545311773357,94,48,15,172.0,98.0,-0.40095821877757504
Buchina Y.,1499.6304919827148,1499.630772688026,1499.630772688026,1499.630772688026,2,0,0,373.0,5521.0,
Bucsa C.,1521.845766080863,1458.5875274045675,1488.0993665318285,1508.5875274045675,91,35,14,40.0,4.0,-0.32828933082636963
Bukta A.,1499.9981067800775,1499.9985738312153,1499.9981067800775,1499.9981067800775,0,2,0,433.0,4799.0,
Bulgaru M.,1443.9444249676903,1433.6701445342806,1426.4737337010938,1426.4737337010938,3,7,0,248.0,47.0,-0.22508094171335358
Burdette M.,1498.1249334674608,1498.5705283527243,1497.8460378556863,1497.605486351434,13,7,1,122.0,4738.0,-0.21621606338259156
Burel C.,1530.1213975273229,1515.869351373153,1478.1617911952494,1512.3266610228277,57,46,8,630.0,44.0,-0.13646223689395487
Burger C.,1496.5519503013181,1497.7076588586197,1496.3063935362773,1496.3063935362773,2,7,0,171.0,3426.0,
Burillo Escorihuela I.,1449.9897538630698,1451.1509141547813,1449.9897538630698,1449.9897538630698,0,3,0,211.0,152.0,
Burillo I.,1482.6645573158244,1481.2602220154638,1482.6645573158244,1482.6645573158244,0,4,0,237.0,1139.0,
Burnett N.,1498.855997034455,1498.312701504558,1498.0815045301465,1498.0815045301465,7,13,0,741.0,4129.0,0.0620785328470726
Burrage J.,1458.7344731210037,1474.3942449931624,1489.169946415387,1467.408955075154,20,3,22,154.0,425.0,-0.15458835940136212
Buryachok I.,1499.8813346827337,1499.881337987711,1499.8813346827337,1499.8813346827337,0,1,0,233.0,6263.0,
Buyukakcay C.,1467.026663654433,1473.711290107168,1462.503603336621,1452.5291429970332,33,36,2,769.0,1194.0,-0.15022721204971015
Buzarnescu M.,1442.0829610163885,1465.6345584694725,1483.4200804215998,1436.286760096458,53,41,20,1350.0,411.0,-0.047279346584202964
Bychkova E.,1498.384668940572,1498.6806330070779,1498.3342209903635,1497.70596841003,33,10,3,211.0,4946.0,0.06076583241593897
Cabeza Candela E.,1499.9478228503735,1499.9478228503735,1499.9478228503735,1499.9478228503735,0,1,0,247.0,7131.0,
Cabeza-Candela E.,1498.5375692892408,1498.648507584126,1497.8557177111506,1497.6162275505712,9,40,1,329.0,4212.0,-0.11407835924712056
Cabrera L.,1431.7972292556203,1439.557732348821,1441.9078586361497,1425.3900844693494,26,2,2,229.0,1441.0,-0.21500752055438307
Cadantu A.,1492.1649517529868,1477.8301502172662,1484.0809289413678,1470.4609404678883,37,45,7,154.0,1497.0,-0.1076869825753029
Cako J.,1497.4716307462372,1497.477802527481,1497.477802527481,1497.477802527481,3,0,0,273.0,2960.0,
Camerin M.,1499.999798074753,1499.9998096833328,1499.999798074753,1499.999798074753,0,2,0,111.0,6772.0,
Camerin M.E.,1498.476707084813,1498.5007063508174,1497.4489430798394,1496.1934448203497,44,36,10,174.0,4814.0,0.13694008840364846
Candela E.C.,1499.7813970296836,1499.781414057291,1499.7813970296836,1499.7813970296836,0,2,0,169.0,6347.0,
Candiotto A.,1496.9615129929782,1496.610336876808,1496.610336876808,1496.610336876808,2,0,0,593.0,353.0,
Capra B.,1499.9727995976518,1499.9737379881196,1499.9737379881196,1499.9737379881196,4,0,0,234.0,5677.0,
Capurro Taborda M.,1498.621849309567,1498.6229206917587,1498.6229206917587,1498.6229206917587,1,0,0,699.0,3681.0,
Caregaro M.,1489.9619032957585,1491.0570774488529,1489.8036854298662,1489.8036854298662,1,1,0,367.0,1770.0,
Carle M.,1437.6034918962746,1456.438623882189,1443.3875115643048,1437.989816364335,10,24,1,231.0,39.0,0.10374060808622709
Castano C.,1498.7761218720193,1498.7963893609606,1498.2886187177924,1497.8402072286528,28,38,2,189.0,4932.0,-0.018025289386482513
Castiblanco K.,1499.7066595736942,1499.7066852495664,1499.7066595736942,1499.7066595736942,0,1,0,423.0,5312.0,
Cavaday N.,1499.91000964953,1499.91000964953,1499.9459734579527,1499.91000964953,0,0,9,297.0,6289.0,-0.054054297916701854
Ce G.,1498.2051227080146,1498.15699045179,1497.6515101543976,1497.6515101543976,5,5,0,292.0,2594.0,-0.09721447492967428
Cecil M.,1499.4748531911746,1499.4708825593368,1499.3954462786035,1499.3954462786035,3,2,0,369.0,5984.0,
Celik S.,1496.948248012051,1496.879829785741,1496.6515321294953,1496.6515321294953,1,2,0,153.0,3695.0,
Cengiz B.,1456.0793624029916,1443.9218795027214,1443.7750860655349,1443.7750860655349,2,4,0,429.0,103.0,
Cepede Royg V.,1479.1919339863662,1491.0002377673563,1483.405629237104,1471.9647031116997,30,27,9,126.0,2953.0,-0.2644047482170264
Cepelova J.,1463.5325908880807,1486.2582232511372,1484.5479014613293,1456.1371464486149,83,42,17,155.0,2511.0,0.0035386893052127832
Cetkovska P.,1495.137413385047,1500.034578711592,1498.2686680774343,1494.9996932350427,62,62,28,132.0,3812.0,-0.23742179486908288
Chakhnashvili M.,1499.8073861225473,1499.8075344663807,1499.8073861225473,1499.8073861225473,0,5,0,207.0,5969.0,
Chakvetadze A.,1501.5150755826974,1499.2923299926656,1500.254298075651,1500.7991919890562,129,36,24,261.0,5100.0,-0.2771637056047495
Chan C-W.,1499.5126519401479,1499.5133554928009,1499.5133554928009,1499.5133554928009,1,0,0,334.0,4730.0,
Chan C.W.,1499.8873640379882,1499.8873619522744,1499.8873619522744,1499.8873619522744,2,0,0,198.0,6970.0,
Chan W.Y.,1499.6229336760564,1499.6234250806842,1499.6234250806842,1499.6234250806842,1,0,0,357.0,4990.0,
Chan Y.,1499.9470671996733,1499.9470671990903,1499.9470671990903,1499.9470671990903,1,0,0,92.0,7116.0,
Chan Y.J.,1493.6705357897952,1497.7011042003417,1496.9331164691278,1492.5582479121147,81,21,13,183.0,4219.0,-0.1422660980166618
Chang H.,1492.4184945859558,1493.6613494564763,1492.4184945859558,1492.4184945859558,0,2,0,194.0,514.0,
Chang K.C.,1485.8661148146998,1489.480969986857,1489.265297968193,1480.6461540536586,73,8,8,273.0,3133.0,-0.14026835057517556
Chang S.,1477.9775339708626,1478.2738651745813,1477.9775339708626,1477.9775339708626,0,2,0,1237.0,1196.0,
Charaeva A.,1477.408032829278,1486.8889109210554,1478.4254151776784,1478.4254151776784,2,7,0,113.0,16.0,
Cheapchandej P.,1495.2916674533576,1495.2871668441016,1495.2871668441016,1495.2871668441016,1,0,0,731.0,2393.0,
Chen Y.,1499.7821675834325,1499.7820428857285,1499.7820428857285,1499.7820428857285,2,0,0,614.0,6193.0,
Cherubini D.,1485.4853503860938,1485.469886123108,1485.4853503860938,1485.4853503860938,0,1,0,421.0,1209.0,
Chiesa D.,1492.8487621952238,1492.8066744396879,1492.8487621952238,1492.8487621952238,0,3,0,159.0,2959.0,
Chirico L.,1414.9454732873558,1425.1781601124194,1409.1563907899008,1386.6705442742361,33,26,2,154.0,399.0,-0.12676677790294283
Choi J-H.,1495.6144979284775,1495.6157672415964,1495.6157672415964,1495.6157672415964,1,0,0,710.0,2540.0,
Choi J.H.,1496.9012142309577,1496.8893667749223,1496.8893667749223,1496.8893667749223,1,0,0,502.0,2904.0,
Chong E.,1463.7962868795435,1463.9415825677038,1463.9415825677038,1463.9415825677038,5,0,0,632.0,304.0,
Christie F.,1498.6294504474374,1498.6294504474374,1498.6361582149539,1498.6294504474374,0,0,1,314.0,3737.0,
Chuang C.J.,1499.9228023324572,1499.9227518281323,1499.9228023324572,1499.9228023324572,0,1,0,409.0,6712.0,
Chvojkova V.,1499.915336925912,1499.9154258470762,1499.915336925912,1499.915336925912,0,3,0,261.0,6627.0,
Chwalinska M.,1523.9783739931813,1591.5492455254112,1547.2275469345916,1573.9783739931813,10,12,3,21.0,3.0,0.09328728064913222
Cibulkova D.,1539.8096512295183,1506.657569620935,1517.4398911694775,1546.5208430593534,404,131,62,41.0,2651.0,-0.2923838424655404
Ciric Bagaric L.,1486.5503676544554,1486.8367050007612,1486.5503676544554,1486.5503676544554,0,1,0,184.0,824.0,
Cirstea S.,1727.9817999271143,1724.0439171513663,1598.5795754404537,1774.0439171513663,413,208,69,19.0,11.0,-0.19802247708277032
Clijsters K.,1501.4542782165745,1502.8683150432985,1502.8863043469285,1504.9584509565657,90,5,16,1476.0,1788.0,-0.2556885984761371
Cocciaretto E.,1585.593305688564,1545.9198426449345,1545.9198426449345,1595.9198426449345,90,60,20,71.0,30.0,-0.07688711240886253
Cohen A.,1499.8755022103849,1499.8755019655323,1499.8755019655323,1499.8755019655323,2,0,0,387.0,6943.0,
Cohen Aloro S.,1499.0469411588242,1499.7685253045324,1499.1080690572453,1498.9925163755368,18,19,1,188.0,5680.0,-0.04534691689611442
